# One row per dispatched fleet member per run. DERIVED, NOT AUTHORED: every row
# is produced by skills/fleet/scripts/member-outcomes.mjs from the harness's own
# subagent transcripts. Re-running the scraper REPLACES rows in place, and the
# whole file may be regenerated when the role classifier changes.
#
# NEVER hand-edit a row, and never add a column that a human must fill. A
# hand-entered value cannot survive a regeneration, which is exactly why the
# verdicts live in tier-outcomes.tsv instead. See
# docs/specs/2026-08-27-fleet-member-outcomes-instrumentation-design.md.
#
# BLANK MEANS UNKNOWN, never zero and never "no". `effort` is blank for models
# that carry no effort control; `ticket`/`pr` are blank when the member name
# does not identify one (merge-bot's number is a WAVE).
#
# `agent` is an OPAQUE JOIN KEY — the member's transcript stem, relative to the
# session's subagents/ dir, used so a re-scrape REPLACES a row instead of
# duplicating it. It is not for display, not for grouping, and not domain data.
# Group on session, role, member and model. It is unique WITHIN A SESSION, which
# is all the key needs — it is NOT globally unique, because a NAMED member's
# stem is derived from its name and so repeats across sessions. Joining on
# `agent` alone merges unrelated members.
#
# THE POPULATION IS BOTH TRANSCRIPT DEPTHS. A directly-dispatched member writes
# subagents/agent-<id>.jsonl; a Workflow's fan-out writes
# subagents/workflows/wf_<id>/agent-<id>.jsonl. Both are scraped, and the nested
# half is roughly as large as the flat one. It is mostly review specialists, and
# workflows/review-pr.js pins model: "sonnet" on three of its six dimensions —
# so it is where model VARIES. Filtering it out silently re-creates the sampling
# bug this file was corrected for.
#
# SUPERSEDED GENERATIONS ARE A SEPARATE POPULATION. Rows carrying an older
# generation (claude-opus-4-7, claude-opus-4-8) must never be pooled with the
# current one under an "opus" label, and never read as a cheaper tier: pricing
# falls with each generation, so an older Opus is not cheaper than the current
# one and an older Sonnet is dearer. Pooling inverts the cost ordering this
# file exists to measure.
#
# TOKEN COLUMNS ARE PER-TURN, folded on the transcript's message.id. One
# assistant turn is written as several jsonl lines, one per content block, each
# repeating the same usage object — so summing per LINE overcounted
# cache_creation by 176% and `turns` by 141%, unevenly across models. board.mjs
# folds the same way; the two must not drift apart. `tokens_out` is the max
# across a turn's lines, because output_tokens is a streaming snapshot.
#
# There is no `errored` column. Transcript torn-ness is a property of WHEN the
# scraper ran, not of the member — it flips back on the next re-scrape — so it
# is reported on stderr and never stored. A member that stalled or hit a
# terminal API failure leaves a syntactically complete file and is
# indistinguishable here. Whether the work was any good is a verdict, and
# verdicts live in tier-outcomes.tsv, joined on `pr`.
#
# A within-run PAIR — the only unconfounded comparison — is a session+role that
# ran more than one model. Nothing is labelled; the pairing is a query:
#   awk -F'\t' '!/^#/ {k=$1 FS $3; if (!(k FS $5 in s)) {s[k FS $5]; n[k]++}} \
#     END{for (k in n) if (n[k] > 1) print k}' docs/metrics/member-outcomes.tsv
#
# Rows by model:
#   awk -F'\t' '!/^#/ {n[$5]++} END{for (k in n) print n[k], k}' docs/metrics/member-outcomes.tsv
#
# session	run_date	role	member	model	effort	ticket	pr	tokens_cache_create	tokens_out	wall_s	turns	agent
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:comment-analyzer	claude-opus-5	xhigh			100315	38032	826	42	agent-a84101a0430d3b8a9
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:type-design-analyzer	claude-opus-5	xhigh			86715	35347	634	31	agent-a873c390bd78266ae
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:code-reviewer	claude-opus-5	xhigh			83028	35741	677	25	agent-a8931ee9e6a1edbe9
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	memory	memory-proxy	claude-haiku-4-5-20251001				30783	4655	113	7	agent-a8a17a1fffdf8827e
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:pr-test-analyzer	claude-opus-5	xhigh			96690	40089	926	41	agent-aa41d85ec1d386014
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:pr-test-analyzer	claude-opus-5	xhigh			72059	30273	820	28	agent-aa6df2b05b12de7ed
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:code-reviewer	claude-opus-5	xhigh			75946	18674	572	20	agent-aaa9eb61ac6ac8d90
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:comment-analyzer	claude-opus-5	xhigh			80006	29988	801	21	agent-ab15238cfb2885b58
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:code-simplifier	claude-opus-5	xhigh			82312	35725	900	27	agent-ab83bcf32609c11e5
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:code-simplifier	claude-opus-5	xhigh			73330	17000	606	22	agent-aba59edad8c99fa64
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:code-reviewer	claude-opus-5	xhigh			80316	27261	657	23	agent-ac5a3a6c9fea3c406
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:type-design-analyzer	claude-opus-5	xhigh			70088	27389	675	19	agent-ac5d1e32e8c12948f
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:code-reviewer	claude-opus-5	xhigh			47748	15839	348	9	agent-ac9226542be667e61
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:silent-failure-hunter	claude-opus-5	xhigh			81907	35865	805	28	agent-acf0ad9b2c5fb0515
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:type-design-analyzer	claude-opus-5	xhigh			77596	30492	677	27	agent-ad4d0e606010d293e
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	memory	memory-proxy	claude-haiku-4-5-20251001				18874	1905	34	4	agent-ad58d230066ce83e2
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:code-reviewer	claude-opus-5	xhigh			90645	32966	725	21	agent-ae4c5fc7d4ed6a968
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:silent-failure-hunter	claude-opus-5	xhigh			68636	18880	459	18	agent-ae5ae09459539f03b
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:silent-failure-hunter	claude-opus-5	xhigh			74085	30546	568	17	agent-ae68c11fd754028a4
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:comment-analyzer	claude-opus-5	xhigh			110116	42777	755	30	agent-ae6a3933889618ab7
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:comment-analyzer	claude-opus-5	xhigh			63484	23308	470	14	agent-aeacf80b336861e8b
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:code-simplifier	claude-opus-5	xhigh			71885	31374	776	26	agent-aec9422dca8a3c1bb
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	memory	memory-proxy	claude-haiku-4-5-20251001				21499	4616	71	9	agent-af979423859779ea0
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	specialist	pr-review-toolkit:comment-analyzer	claude-opus-5	xhigh			78935	28757	598	19	agent-aff5148f0bff2e209
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	finisher	finisher-pr-166	claude-opus-5	xhigh		166	36891	7188	174	15	agent-afinisher-pr-166-962422aa9dc9b153
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	finisher	finisher-pr-167	claude-opus-5	xhigh		167	65397	8610	194	13	agent-afinisher-pr-167-6ee4104e7d13f5ce
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	finisher	finisher-pr-167-b	claude-opus-5	xhigh		167	49440	3783	107	9	agent-afinisher-pr-167-b-50364f0ab900d877
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	finisher	finisher-pr-168	claude-opus-5	xhigh		168	27488	4935	120	10	agent-afinisher-pr-168-77a5ed36534a6cd3
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	finisher	finisher-pr-171	claude-opus-5	xhigh		171	23858	3475	81	8	agent-afinisher-pr-171-43c907fe0e767160
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	finisher	finisher-pr-174	claude-opus-5	xhigh		174	26488	4407	112	8	agent-afinisher-pr-174-69c09fbce6c9f3ec
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	finisher	finisher-pr-177	claude-opus-5	xhigh		177	27130	4384	108	7	agent-afinisher-pr-177-3c55bacd1aa9babb
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	finisher	finisher-pr-180	claude-opus-5	xhigh		180	26373	3256	109	11	agent-afinisher-pr-180-54b68b234125a3c6
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	finisher	finisher-pr-180-b	claude-opus-5	xhigh		180	25314	2500	56	6	agent-afinisher-pr-180-b-17a8b51b0357dbb0
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	implementer	impl-126	claude-opus-5	xhigh	126		94811	30295	940	39	agent-aimpl-126-d2550063b1aca937
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	implementer	impl-47	claude-opus-5	xhigh	47		75917	18724	438	27	agent-aimpl-47-8310b08e7510c7d0
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	implementer	impl-61	claude-opus-5	xhigh	61		356617	34499	3146	52	agent-aimpl-61-d85434a74500d074
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	implementer	impl-62	claude-opus-5	xhigh	62		136768	23176	744	28	agent-aimpl-62-9dd6bdb326679959
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	implementer	impl-81	claude-opus-5	xhigh	81		229188	34691	969	45	agent-aimpl-81-bad3d6ca5b099c2c
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	implementer	impl-89	claude-opus-5	xhigh	89		126587	54593	1165	41	agent-aimpl-89-031cc23c0b91c2f0
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	implementer	impl-99	claude-opus-5	xhigh	99		153142	23760	1037	50	agent-aimpl-99-0e53a04fa927d393
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	merge-bot	merge-bot-1	claude-opus-5	xhigh			31485	4474	112	10	agent-amerge-bot-1-da674bcfbd8b82e1
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	merge-bot	merge-bot-2	claude-opus-5	xhigh			36925	6507	207	15	agent-amerge-bot-2-370ddb62e7cebfda
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	merge-bot	merge-bot-3	claude-opus-5	xhigh			33008	5119	132	11	agent-amerge-bot-3-d0d65826bd986ded
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	merge-bot	merge-bot-4	claude-opus-5	xhigh			38284	8632	270	17	agent-amerge-bot-4-1cfbc709ee61cd22
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	merge-bot	merge-bot-5	claude-opus-5	xhigh			135463	11935	284	21	agent-amerge-bot-5-45b52f3cfaf3aca0
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	merge-bot	merge-bot-6	claude-opus-5	xhigh			40261	8326	241	18	agent-amerge-bot-6-a14984935dc18e29
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	merge-bot	merge-bot-7	claude-opus-5	xhigh			82804	13290	229	12	agent-amerge-bot-7-a26948a95318fef1
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	merge-bot	merge-bot-8	claude-opus-5	xhigh			45293	7359	264	16	agent-amerge-bot-8-0c61e4cbd3534dcf
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	reviewer	review-pr-166	claude-opus-5	xhigh		166	248744	32870	840	27	agent-areview-pr-166-a1a5928717c46625
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	reviewer	review-pr-167	claude-opus-5	xhigh		167	733774	68796	1853	68	agent-areview-pr-167-1dd88d185e07592d
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	reviewer	review-pr-168	claude-opus-5	xhigh		168	263440	50451	1168	57	agent-areview-pr-168-88444ca73383697f
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	reviewer	review-pr-171	claude-opus-5	xhigh		171	750769	67525	1716	77	agent-areview-pr-171-99263cd069831667
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	reviewer	review-pr-174	claude-opus-5	xhigh		174	1094481	97602	2412	107	agent-areview-pr-174-906e28189b96085b
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	reviewer	review-pr-177	claude-opus-5	xhigh		177	638351	63275	1727	71	agent-areview-pr-177-8b48c6fe6794d85d
01f3c6b6-3b96-4bb3-b34c-a512ffb34650	2026-07-31	reviewer	review-pr-180	claude-opus-5	xhigh		180	646548	99765	2229	77	agent-areview-pr-180-e0c2bc3b4f95b7bb
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	specialist	general-purpose	claude-opus-5	high			80507	4235	860	21	agent-a07ff59b6b9e05c12
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	memory	memory-proxy	claude-haiku-4-5-20251001				25815	2550	64	5	agent-a1caec74014b2dacd
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	specialist	general-purpose	claude-opus-5	high			93853	2571	1093	19	agent-a4cd5d224b1c032a7
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	specialist	general-purpose	claude-opus-5	high			49825	1833	954	12	agent-a58de0fc3a59f49a0
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	specialist	general-purpose	claude-opus-5	high			57715	429	245	14	agent-a5ebab9922252092d
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	specialist	general-purpose	claude-opus-5	high			62696	1891	231	25	agent-a7dac31a7a67f729f
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	memory	memory-housekeeper	claude-opus-5	high			71633	22	182	7	agent-a857e142355ccee27
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	memory	memory-proxy	claude-haiku-4-5-20251001				25231	8	73	4	agent-a8b3be5dc53e8521b
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	specialist	general-purpose	claude-opus-5	high			135909	4294	1146	25	agent-a8e9d71f438839380
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	specialist	general-purpose	claude-opus-5	high			115254	3636	1454	34	agent-a9abb5843794db3ae
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	specialist	general-purpose	claude-opus-5	high			60036	1149	538	14	agent-ab4cc823c6205a09b
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	specialist	general-purpose	claude-opus-5	high			35885	1118	349	13	agent-ac237a225e68b0edd
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	memory	memory-proxy	claude-haiku-4-5-20251001				20274	895	50	5	agent-aca87298cdfd3f809
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	specialist	general-purpose	claude-opus-5	high			39074	1268	192	19	agent-ae606f9353977dcf7
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	memory	memory-proxy	claude-haiku-4-5-20251001				18568	8	35	3	agent-af193d1f1a54676a5
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	specialist	general-purpose	claude-opus-5	high			69197	2718	763	11	agent-af215d94eed6a3dfe
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	specialist	general-purpose	claude-opus-5	high			61546	4452	310	23	agent-afbf7f26bec283241
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	specialist	general-purpose	claude-opus-5	high			50897	10552	739	22	agent-afff72c56867dc641
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	finisher	finisher-pr-1089	claude-opus-5	high		1089	190886	4905	876	38	agent-afinisher-pr-1089-6b02bf6c9bfade2a
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	finisher	finisher-pr-1104	claude-opus-5	high		1104	51593	2187	649	18	agent-afinisher-pr-1104-d759438095cdb365
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	finisher	finisher-pr-1105	claude-opus-5	high		1105	56970	1897	429	24	agent-afinisher-pr-1105-80ea5651ca29607b
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	finisher	finisher-pr-1110	claude-opus-5	high		1110	45604	833	422	22	agent-afinisher-pr-1110-f3e1e2de97edd805
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	finisher	finisher-pr-1114	claude-opus-5	high		1114	47160	6387	610	18	agent-afinisher-pr-1114-b7d5372192f17b2f
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	reviewer	fix-pr-1104	claude-opus-5	high		1104	253405	1217	2324	40	agent-afix-pr-1104-55ecf8f4f8bb44d0
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	reviewer	fix-pr-1105	claude-opus-5	high		1105	438108	1646	2482	33	agent-afix-pr-1105-292ab10fccf9da50
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	reviewer	fix-pr-1110	claude-opus-5	high		1110	160660	3334	1039	30	agent-afix-pr-1110-8389539f80e52b4e
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	reviewer	fix-pr-1114	claude-opus-5	high		1114	133929	7804	1128	25	agent-afix-pr-1114-17d0a1802914896e
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	implementer	impl-482	claude-opus-5	high	482		322563	6615	2224	69	agent-aimpl-482-8ac7e98bb220210d
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	implementer	impl-525	claude-sonnet-5	xhigh	525		155299	1908	619	49	agent-aimpl-525-35a503d6262e8b39
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	implementer	impl-529	claude-opus-5	high	529		116225	7156	1510	44	agent-aimpl-529-00882929a76d0f4c
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	merge-bot	merge-bot-10	claude-opus-5	high			52203	5710	435	18	agent-amerge-bot-10-e8b738d8cfb13f1b
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	merge-bot	merge-bot-6	claude-opus-5	high			53604	1360	452	20	agent-amerge-bot-6-183e59a966621634
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	merge-bot	merge-bot-7	claude-opus-5	high			126606	4007	480	21	agent-amerge-bot-7-0d9ee8156f5a0b45
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	merge-bot	merge-bot-8	claude-opus-5	high			51197	252	403	17	agent-amerge-bot-8-af0479680b12e036
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	merge-bot	merge-bot-9	claude-opus-5	high			52485	1153	432	18	agent-amerge-bot-9-68988d6b9e6b36e9
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	specialist	pr-review-toolkit:code-reviewer	claude-opus-5	high			114511	5578	643	57	workflows/wf_0d825d08-9f4/agent-a788edb482cb8c425
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	specialist	pr-review-toolkit:comment-analyzer	claude-sonnet-5	xhigh			136699	3848	543	44	workflows/wf_0d825d08-9f4/agent-a9ce36e34af36f12e
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	specialist	workflow-subagent	claude-haiku-4-5-20251001				30273	798	49	10	workflows/wf_0d825d08-9f4/agent-aaeddf4b9ece2b468
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	specialist	pr-review-toolkit:comment-analyzer	claude-sonnet-5	xhigh			127571	840	813	61	workflows/wf_131b2013-963/agent-a2007662a5e0db6fe
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	specialist	pr-review-toolkit:code-reviewer	claude-opus-5	high			63492	1079	723	25	workflows/wf_131b2013-963/agent-a2f59d0ac02dd3d6c
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	specialist	workflow-subagent	claude-haiku-4-5-20251001				29454	8	37	6	workflows/wf_131b2013-963/agent-a4d2a78bf8bec126c
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	specialist	pr-review-toolkit:pr-test-analyzer	claude-sonnet-5	xhigh			140740	1643	711	59	workflows/wf_131b2013-963/agent-aaed67e3da693ffac
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	specialist	workflow-subagent	claude-haiku-4-5-20251001				30874	4	33	3	workflows/wf_45ab886b-5aa/agent-a0a841bcb985f0799
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	specialist	pr-review-toolkit:code-simplifier	claude-opus-5	high			82522	724	729	16	workflows/wf_45ab886b-5aa/agent-a18f9e96a1816262d
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	specialist	pr-review-toolkit:comment-analyzer	claude-sonnet-5	xhigh			147447	3771	716	112	workflows/wf_45ab886b-5aa/agent-a309d42d72981dfb4
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	specialist	workflow-subagent	claude-opus-5	low			22152	36	43	6	workflows/wf_45ab886b-5aa/agent-a809a0417aaae7073
033e86e7-d315-44df-b1cb-0bfacecd8316	2026-08-31	specialist	workflow-subagent	claude-opus-5	low			22875	391	54	8	workflows/wf_45ab886b-5aa/agent-a8619e87da6e9ea8e
